Category,Resolved Path,Chat Count,Gemini Hash,Clue Path (if unmatched)
aider,/home/mstouffer/repos,1,N/A,
aider,/home/mstouffer/repos/aider,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/09/07,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/09/09,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/09/11,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/10/11,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/10/30_08-01-24,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm-cdk/2024/10/30_09-28-45,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/11,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/13,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/13.2,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/14,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/18,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/20,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/09/27,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/01,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/03,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/11,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/16,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/17,1,N/A,
aider,/home/mstouffer/repos/handterm-proj/handterm-wiki/chats/aider/handterm/2024/10/22,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm-cdk,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm-cdk/2024/09/07,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm-cdk/2024/09/09,1,N/A,
aider,/home/mstouffer/repos/handterm-wiki/chats/aider/handterm-cdk/2024/09/11,1,N/A,
